Escola;Gênero;Idade;Moradia;Tamanho da família;Relacionamento dos pais;Escolaridade da mãe;Escolaridade do pai;Ocupação da mãe;Ocupação do pai;Motivo da escolha pela escola;Guardião;Tempo em trânsito;Tempo de estudo;Reprovações;Suporte extracurricular;Suporte familiar nas aulas;Aulas particulares;Atividades extracurriculares;Frequentou pré-escola?;Deseja cursar ensino superior?;Acesso à internet;Namora?;Qualidade da relação familiar;Tempo livre pós aula;Vida social;Consumo de álcool diário;Consumo de álcool semanal;Status de saúde;Número de faltas;Nota1;Nota2;Nota final
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;2;2;Dona de casa;Outros;Perto de casa;Mãe;1;2;1;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;3;1;2;1;1;5;12;8;10;10
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Juntos;4;2;Professora;Outros;Preferência pelo curso;Mãe;1;1;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;3;5;2;1;1;3;10;18;17;18
Gabriel Pereira;Masculino;15;Rural;Mais de 3 pessoas;Juntos;2;1;Saúde;Serviços;Reputação da escola;Mãe;1;2;0;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;5;4;2;1;1;5;4;10;9;10
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Professora;Professor;Preferência pelo curso;Pai;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;4;4;1;2;5;6;16;14;14
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Outros;Professor;Reputação da escola;Pai;2;2;0;Não;Sim;Não;Sim;Sim;Sim;Não;Não;4;4;3;1;1;2;4;16;15;16
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;3;3;Outros;Serviços;Perto de casa;Pai;2;1;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;5;4;2;1;1;5;6;14;14;15
Gabriel Pereira;Masculino;17;Rural;Mais de 3 pessoas;Juntos;1;3;Outros;Outros;Preferência pelo curso;Pai;3;2;1;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;2;4;1;4;5;14;12;11;11
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;3;4;Outros;Outros;Reputação da escola;Pai;1;1;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;3;4;3;1;2;4;2;14;13;14
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;1;2;Dona de casa;Serviços;Preferência pelo curso;Mãe;1;2;0;Não;Não;Não;Não;Não;Sim;Sim;Não;3;2;3;1;2;1;0;14;14;14
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;2;2;Serviços;Serviços;Perto de casa;Pai;1;4;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;5;4;1;2;5;6;14;13;13
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;2;4;Outros;Saúde;Preferência pelo curso;Pai;2;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;4;2;2;1;2;5;2;14;12;13
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Saúde;Outros;Preferência pelo curso;Mãe;1;1;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;3;4;4;1;4;5;4;12;13;13
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;2;2;Outros;Outros;Perto de casa;Mãe;1;2;0;Não;Não;Não;Não;Sim;Sim;Sim;Sim;5;4;4;1;1;5;0;12;11;11
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;3;4;Serviços;Serviços;Perto de casa;Pai;1;1;0;Sim;Não;Não;Não;Sim;Sim;Sim;Não;5;5;5;3;2;5;2;9;9;9
Gabriel Pereira;Feminino;15;Urbano;Menos de 3 pessoas;Separados;3;4;Outros;Outros;Perto de casa;Mãe;1;2;0;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;5;3;2;1;1;1;0;10;11;11
Gabriel Pereira;Feminino;19;Urbano;Mais de 3 pessoas;Juntos;0;1;Dona de casa;Outros;Preferência pelo curso;Outros;1;2;2;Não;Sim;Não;Não;Não;Não;Não;Não;3;4;2;1;1;5;0;9;10;11
Gabriel Pereira;Masculino;16;Rural;Mais de 3 pessoas;Juntos;4;4;Professora;Professor;Preferência pelo curso;Mãe;1;1;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;3;5;5;2;5;4;8;14;14;15
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;2;3;Outros;Outros;Preferência pelo curso;Mãe;2;3;0;Não;Sim;Não;Não;Não;Sim;Sim;Sim;3;2;3;2;2;1;4;13;12;13
Gabriel Pereira;Feminino;15;Rural;Mais de 3 pessoas;Juntos;3;4;Serviços;Professor;Preferência pelo curso;Pai;2;3;0;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;4;2;2;2;2;5;0;10;11;12
Gabriel Pereira;Feminino;18;Urbano;Mais de 3 pessoas;Juntos;2;1;Serviços;Outros;Reputação da escola;Mãe;1;2;3;Não;Sim;Não;Sim;Sim;Não;Sim;Sim;5;4;5;1;3;5;10;10;9;8
Gabriel Pereira;Feminino;17;Urbano;Menos de 3 pessoas;Separados;2;1;Outros;Outros;Preferência pelo curso;Mãe;3;1;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;3;2;2;1;2;5;8;11;10;11
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;1;1;Dona de casa;Outros;Preferência pelo curso;Mãe;3;1;0;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;4;3;3;1;2;4;6;11;12;13
Gabriel Pereira;Feminino;17;Urbano;Menos de 3 pessoas;Juntos;2;2;Outros;Outros;Preferência pelo curso;Pai;1;1;0;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;3;4;4;1;3;5;2;13;12;12
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Separados;3;4;Serviços;Outros;Preferência pelo curso;Pai;1;1;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;3;2;1;1;4;5;12;15;13;14
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;2;1;Dona de casa;Outros;Preferência pelo curso;Mãe;4;1;0;Não;Não;Não;Não;Sim;Sim;Não;Não;3;2;1;1;1;2;4;9;9;11
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Separados;2;2;Outros;Outros;Perto de casa;Mãe;1;1;1;Não;Não;Não;Não;Sim;Sim;Não;Não;5;3;4;1;1;5;12;13;11;11
Gabriel Pereira;Masculino;15;Rural;Mais de 3 pessoas;Juntos;3;4;Dona de casa;Professor;Preferência pelo curso;Mãe;4;2;0;Não;Sim;Não;Não;Sim;Sim;Não;Sim;5;3;3;1;1;5;2;12;11;11
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Sem ocupação;Preferência pelo curso;Mãe;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;4;3;3;1;1;5;4;13;14;15
Gabriel Pereira;Masculino;17;Rural;Mais de 3 pessoas;Juntos;3;4;Dona de casa;Outros;Preferência pelo curso;Mãe;3;2;0;Não;Não;Não;Não;Sim;Sim;Não;Não;5;4;5;2;4;5;2;10;9;10
Gabriel Pereira;Feminino;16;Rural;Mais de 3 pessoas;Juntos;1;1;Dona de casa;Outros;Preferência pelo curso;Mãe;4;2;0;Não;Sim;Não;Não;Sim;Sim;Não;Não;5;1;3;1;1;3;0;14;13;13
Gabriel Pereira;Masculino;18;Urbano;Menos de 3 pessoas;Juntos;3;1;Serviços;Serviços;Preferência pelo curso;Mãe;2;1;0;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;3;3;4;4;5;4;2;11;11;12
Gabriel Pereira;Feminino;18;Urbano;Mais de 3 pessoas;Separados;3;2;Outros;Serviços;Preferência pelo curso;Outros;1;3;0;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;4;3;3;5;1;5;10;12;11;11
Gabriel Pereira;Feminino;16;Rural;Mais de 3 pessoas;Juntos;1;1;Outros;Serviços;Reputação da escola;Mãe;2;1;0;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;3;3;3;1;2;1;8;12;11;11
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Separados;3;3;Outros;Outros;Preferência pelo curso;Outros;2;1;0;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;4;3;2;1;1;5;4;9;9;10
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;1;1;Serviços;Outros;Preferência pelo curso;Mãe;1;2;2;Não;Não;Não;Não;Sim;Sim;Não;Sim;4;4;4;1;3;5;0;10;10;10
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Professora;Professor;Preferência pelo curso;Mãe;2;1;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;4;3;2;1;1;5;6;13;14;14
Gabriel Pereira;Feminino;15;Rural;Mais de 3 pessoas;Juntos;1;1;Outros;Outros;Preferência pelo curso;Mãe;3;1;1;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;5;5;5;1;1;1;2;8;9;9
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;3;Professora;Serviços;Preferência pelo curso;Pai;2;4;0;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;2;2;2;1;1;3;6;9;11;11
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Separados;3;3;Serviços;Serviços;Perto de casa;Mãe;1;2;0;Não;Não;Não;Não;Não;Sim;Não;Sim;1;3;2;2;3;1;24;9;8;9
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Serviços;Preferência pelo curso;Mãe;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;3;3;1;3;5;0;15;13;13
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;2;2;Serviços;Serviços;Reputação da escola;Pai;2;1;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;2;3;3;2;2;2;4;12;11;11
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Professora;Serviços;Preferência pelo curso;Mãe;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;2;2;1;1;5;2;13;13;13
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;1;1;Dona de casa;Sem ocupação;Preferência pelo curso;Mãe;1;1;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;3;4;4;3;3;1;4;10;11;11
Gabriel Pereira;Masculino;17;Urbano;Mais de 3 pessoas;Juntos;2;1;Outros;Outros;Perto de casa;Mãe;1;1;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;5;4;5;1;2;5;22;9;7;6
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;1;1;Outros;Serviços;Preferência pelo curso;Pai;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;4;2;1;2;5;0;12;12;12
Gabriel Pereira;Feminino;15;Urbano;Menos de 3 pessoas;Separados;2;1;Dona de casa;Outros;Perto de casa;Mãe;2;1;0;Não;Sim;Não;Sim;Sim;Não;Sim;Sim;4;4;2;1;1;5;0;11;10;10
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;3;2;Saúde;Serviços;Perto de casa;Pai;1;2;1;Não;Sim;Não;Não;Sim;Sim;Sim;Não;3;3;2;1;1;3;2;11;11;11
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;1;2;Dona de casa;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Não;Não;Não;Sim;Sim;Não;4;3;2;1;1;5;6;13;12;13
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;1;2;Dona de casa;Serviços;Preferência pelo curso;Pai;1;2;0;Não;Não;Não;Não;Não;Sim;Não;Sim;2;3;4;2;4;1;6;11;11;11
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Professora;Professor;Preferência pelo curso;Mãe;1;1;0;Não;Sim;Não;Não;Sim;Não;Sim;Sim;3;3;2;2;1;5;16;9;9;8
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Separados;2;1;Serviços;Outros;Preferência pelo curso;Mãe;4;1;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;4;5;5;2;5;5;0;12;11;11
Gabriel Pereira;Masculino;18;Urbano;Menos de 3 pessoas;Juntos;1;1;Outros;Outros;Preferência pelo curso;Mãe;1;1;2;Não;Não;Não;Não;Sim;Não;Sim;Sim;2;3;5;2;5;4;0;11;9;0
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;2;1;Dona de casa;Outros;Preferência pelo curso;Mãe;1;1;1;Não;Não;Não;Sim;Sim;Sim;Não;Sim;4;4;4;3;5;5;6;9;10;10
Gabriel Pereira;Feminino;15;Rural;Mais de 3 pessoas;Juntos;3;3;Serviços;Serviços;Reputação da escola;Outros;2;3;0;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;4;2;1;2;3;3;2;13;13;13
Gabriel Pereira;Masculino;19;Urbano;Mais de 3 pessoas;Juntos;3;2;Serviços;Sem ocupação;Perto de casa;Mãe;1;1;0;Não;Sim;Não;Não;Sim;Não;Sim;Sim;4;5;4;1;1;4;6;11;9;11
Gabriel Pereira;Feminino;17;Urbano;Mais de 3 pessoas;Juntos;4;4;Outros;Professor;Preferência pelo curso;Mãe;1;1;0;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;4;2;1;1;1;4;0;13;13;13
Gabriel Pereira;Masculino;15;Rural;Mais de 3 pessoas;Juntos;2;3;Dona de casa;Serviços;Preferência pelo curso;Mãe;1;2;0;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;4;4;4;1;1;1;0;7;8;8
Gabriel Pereira;Masculino;17;Rural;Menos de 3 pessoas;Juntos;1;2;Outros;Outros;Reputação da escola;Mãe;1;1;3;Não;Não;Não;Não;Sim;Sim;Não;Não;2;2;2;3;3;5;14;9;8;10
Gabriel Pereira;Feminino;18;Rural;Mais de 3 pessoas;Juntos;1;1;Dona de casa;Outros;Preferência pelo curso;Mãe;3;1;3;Não;Sim;Não;Sim;Não;Sim;Não;Não;5;2;5;1;5;4;6;11;10;11
Gabriel Pereira;Masculino;16;Rural;Mais de 3 pessoas;Juntos;2;2;Dona de casa;Outros;Preferência pelo curso;Mãe;3;1;0;Não;Não;Não;Não;Não;Sim;Não;Não;4;2;2;1;2;3;4;12;10;11
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;3;3;Outros;Serviços;Preferência pelo curso;Pai;1;2;1;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;4;5;5;4;4;5;0;10;10;1
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;1;2;Saúde;Serviços;Preferência pelo curso;Mãe;2;1;2;Não;Não;Não;Não;Não;Sim;Sim;Não;4;4;5;3;5;5;0;9;8;10
Gabriel Pereira;Masculino;17;Rural;Menos de 3 pessoas;Juntos;2;1;Dona de casa;Outros;Preferência pelo curso;Mãe;2;1;1;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;3;3;2;2;2;5;8;8;8;9
Gabriel Pereira;Masculino;17;Rural;Mais de 3 pessoas;Juntos;3;2;Outros;Outros;Preferência pelo curso;Mãe;2;2;2;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;4;4;4;1;4;3;4;7;6;8
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Juntos;1;2;Outros;Outros;Preferência pelo curso;Mãe;2;1;0;Não;Não;Não;Sim;Sim;Sim;Não;Não;4;4;4;2;4;5;2;8;9;10
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;1;3;Dona de casa;Serviços;Preferência pelo curso;Pai;1;1;1;Não;Não;Não;Não;Sim;Não;Sim;Não;5;3;3;1;4;2;2;9;8;8
Gabriel Pereira;Masculino;17;Rural;Menos de 3 pessoas;Juntos;1;1;Outros;Serviços;Preferência pelo curso;Mãe;4;2;0;Não;Não;Não;Sim;Sim;Não;Não;Sim;5;3;5;1;5;5;0;8;8;8
Gabriel Pereira;Masculino;17;Urbano;Mais de 3 pessoas;Juntos;3;2;Serviços;Serviços;Preferência pelo curso;Mãe;2;1;3;Não;Sim;Não;Sim;Não;Não;Não;Não;4;5;2;1;1;2;10;8;7;8
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;2;2;Outros;Outros;Preferência pelo curso;Pai;1;2;0;Não;Não;Não;Não;Sim;Não;Sim;Não;4;3;5;2;4;4;0;9;10;11
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;2;Saúde;Serviços;Perto de casa;Pai;1;2;0;Não;Não;Não;Não;Sim;Sim;Sim;Sim;4;2;3;1;1;3;0;17;17;18
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;2;2;Outros;Outros;Perto de casa;Mãe;1;2;0;Não;Sim;Não;Não;Não;Sim;Sim;Não;5;1;5;1;1;4;0;12;12;13
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Saúde;Saúde;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;4;4;2;1;1;3;0;16;16;17
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;3;4;Outros;Outros;Preferência pelo curso;Pai;3;1;1;Não;Sim;Não;Sim;Não;Sim;Sim;Não;3;4;5;2;4;2;4;9;9;10
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;1;0;Outros;Outros;Reputação da escola;Mãe;2;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;4;3;2;1;1;3;0;16;17;18
Gabriel Pereira;Masculino;17;Urbano;Menos de 3 pessoas;Juntos;4;4;Professora;Outros;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;4;4;1;3;5;0;11;9;10
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;1;3;Dona de casa;Serviços;Perto de casa;Mãe;1;2;0;Não;Não;Não;Sim;Não;Sim;Sim;Sim;4;3;5;1;1;3;0;14;13;13
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;3;3;Outros;Outros;Reputação da escola;Mãe;2;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;4;5;1;1;4;0;14;14;15
Gabriel Pereira;Masculino;17;Urbano;Menos de 3 pessoas;Juntos;4;3;Professora;Outros;Preferência pelo curso;Mãe;2;2;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;4;4;4;4;4;4;0;10;11;11
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;2;2;Serviços;Outros;Reputação da escola;Mãe;2;2;0;Não;Não;Não;Sim;Não;Sim;Sim;Não;3;4;4;1;4;5;0;13;12;14
Gabriel Pereira;Masculino;17;Urbano;Mais de 3 pessoas;Juntos;3;3;Outros;Outros;Reputação da escola;Pai;1;2;0;Não;Não;Não;Sim;Não;Sim;Sim;Não;4;3;4;1;4;4;4;11;9;10
Gabriel Pereira;Masculino;16;Rural;Mais de 3 pessoas;Juntos;4;2;Professora;Serviços;Outros;Mãe;1;1;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;4;3;3;3;4;3;8;10;9;11
Gabriel Pereira;Masculino;17;Urbano;Mais de 3 pessoas;Juntos;4;3;Outros;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;5;2;3;1;1;2;4;11;11;13
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;4;3;Professora;Outros;Perto de casa;Mãe;1;2;0;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;3;4;3;2;3;3;4;11;10;11
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;3;3;Serviços;Outros;Perto de casa;Mãe;1;2;0;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;4;2;3;1;2;3;0;11;12;13
Gabriel Pereira;Feminino;17;Urbano;Mais de 3 pessoas;Juntos;2;4;Serviços;Serviços;Reputação da escola;Pai;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Não;Não;5;4;2;2;3;5;0;17;18;17
Gabriel Pereira;Feminino;17;Urbano;Menos de 3 pessoas;Juntos;3;3;Outros;Outros;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;5;3;3;2;3;1;32;14;13;14
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;3;2;Outros;Outros;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;1;2;2;1;2;1;8;14;15;16
Gabriel Pereira;Masculino;17;Urbano;Mais de 3 pessoas;Juntos;3;3;Serviços;Serviços;Outros;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;4;3;4;2;3;4;6;11;13;14
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;1;2;Serviços;Serviços;Outros;Mãe;1;1;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;3;3;3;1;2;3;0;10;9;11
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;2;1;Outros;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;4;2;3;1;2;5;0;13;14;16
Gabriel Pereira;Feminino;17;Urbano;Mais de 3 pessoas;Separados;3;3;Saúde;Outros;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Não;Não;Sim;Sim;Sim;3;3;3;1;3;3;10;12;13;14
Gabriel Pereira;Masculino;17;Rural;Mais de 3 pessoas;Juntos;1;2;Dona de casa;Outros;Perto de casa;Mãe;1;2;0;Não;Não;Não;Não;Sim;Sim;Não;Não;3;1;3;1;5;3;6;9;9;10
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;2;3;Serviços;Serviços;Preferência pelo curso;Mãe;1;2;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;4;3;3;1;1;2;6;12;12;13
Gabriel Pereira;Feminino;17;Urbano;Mais de 3 pessoas;Juntos;1;1;Dona de casa;Serviços;Preferência pelo curso;Mãe;1;2;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;5;3;3;1;1;3;0;12;11;12
Gabriel Pereira;Masculino;17;Urbano;Mais de 3 pessoas;Juntos;1;2;Dona de casa;Serviços;Outros;Outros;2;2;0;Não;Não;Não;Sim;Não;Sim;Sim;Não;4;4;4;4;5;5;16;10;11;12
Gabriel Pereira;Masculino;16;Rural;Mais de 3 pessoas;Juntos;3;3;Serviços;Serviços;Reputação da escola;Mãe;1;1;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;2;3;4;5;0;11;10;10
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;2;3;Outros;Outros;Perto de casa;Pai;2;1;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;5;3;3;1;1;3;0;13;12;12
Gabriel Pereira;Feminino;17;Urbano;Menos de 3 pessoas;Juntos;2;4;Serviços;Serviços;Preferência pelo curso;Pai;1;2;0;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;4;3;2;1;1;5;8;14;15;16
Gabriel Pereira;Masculino;17;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Professor;Perto de casa;Mãe;1;1;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;5;2;3;1;2;5;4;13;13;14
Gabriel Pereira;Masculino;16;Rural;Menos de 3 pessoas;Juntos;3;3;Professora;Outros;Perto de casa;Pai;3;1;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;3;3;4;3;5;3;16;10;11;12
Gabriel Pereira;Feminino;17;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Professor;Perto de casa;Mãe;2;1;1;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;2;4;2;3;2;30;14;15;16
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;4;4;Professora;Professor;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;5;2;1;2;3;0;11;10;11
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;3;Saúde;Outros;Perto de casa;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;5;1;5;2;2;14;14;15
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;2;3;Outros;Outros;Reputação da escola;Mãe;1;2;0;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;4;4;3;1;3;4;4;11;12;12
Gabriel Pereira;Feminino;17;Urbano;Mais de 3 pessoas;Juntos;1;1;Outros;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Não;Não;Não;Sim;Não;Não;4;4;4;1;3;1;0;14;15;15
Gabriel Pereira;Feminino;17;Rural;Mais de 3 pessoas;Juntos;2;2;Outros;Outros;Reputação da escola;Mãe;1;1;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;5;3;2;1;2;3;21;13;13;13
Gabriel Pereira;Feminino;16;Rural;Mais de 3 pessoas;Juntos;2;2;Serviços;Serviços;Reputação da escola;Mãe;2;4;0;Não;Sim;Não;Sim;Não;Sim;Sim;Não;5;3;5;1;1;5;6;13;13;13
Gabriel Pereira;Feminino;17;Urbano;Mais de 3 pessoas;Juntos;3;4;Dona de casa;Serviços;Perto de casa;Mãe;1;3;1;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;4;4;3;3;4;5;14;8;9;8
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Separados;3;1;Serviços;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;2;3;3;2;2;4;2;11;11;12
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;3;Professora;Outros;Outros;Mãe;1;2;0;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;1;3;2;1;1;1;4;14;15;15
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;1;1;Dona de casa;Outros;Perto de casa;Mãe;2;1;0;Não;Sim;Não;Não;Sim;Sim;Não;Não;4;3;2;1;4;5;2;12;13;13
Gabriel Pereira;Feminino;17;Rural;Mais de 3 pessoas;Juntos;4;3;Professora;Outros;Reputação da escola;Mãe;2;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;4;4;2;1;1;4;0;11;12;12
Gabriel Pereira;Feminino;19;Urbano;Mais de 3 pessoas;Juntos;3;3;Outros;Outros;Reputação da escola;Outros;1;4;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;3;1;2;3;4;12;12;12
Gabriel Pereira;Masculino;17;Urbano;Menos de 3 pessoas;Juntos;4;4;Serviços;Outros;Perto de casa;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;5;3;5;4;5;3;15;13;12;12
